Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRICA,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRICA,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRICA,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ESTUDIOS POLÍTICOS,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ESTUDIOS POLÍTICOS,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ESTUDIOS POLÍTICOS,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ESTUDIOS POLÍTICOS,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA INDUSTRIAL,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA INDUSTRIAL,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - RECURSOS MINERALES,Presencial,17
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - RECURSOS MINERALES,Presencial,16
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - RECURSOS MINERALES,Presencial,10
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - RECURSOS MINERALES,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE PETRÓLEOS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE PETRÓLEOS,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE PETRÓLEOS,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE PETRÓLEOS,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - SISTEMAS ENERGÉTICOS,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - SISTEMAS ENERGÉTICOS,Presencial,18
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - SISTEMAS ENERGÉTICOS,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - SISTEMAS ENERGÉTICOS,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - AUTOMATIZACION INDUSTRIAL,Presencial,1
