Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,500
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,497
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,337
UNIVERSIDAD NACIONAL DE COLOMBIA,INGENIERIA AGRONOMICA,Presencial,331
UNIVERSIDAD NACIONAL DE COLOMBIA,NUTRICION Y DIETETICA,Presencial,113
UNIVERSIDAD NACIONAL DE COLOMBIA,NUTRICION Y DIETETICA,Presencial,119
UNIVERSIDAD NACIONAL DE COLOMBIA,NUTRICION Y DIETETICA,Presencial,288
UNIVERSIDAD NACIONAL DE COLOMBIA,NUTRICION Y DIETETICA,Presencial,286
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - GEOTECNIA,Presencial,39
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - GEOTECNIA,Presencial,31
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - GEOTECNIA,Presencial,15
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - GEOTECNIA,Presencial,15
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - ESTRUCTURAS,Presencial,33
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - ESTRUCTURAS,Presencial,36
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - ESTRUCTURAS,Presencial,8
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - ESTRUCTURAS,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CONTABILIDAD Y FINANZAS,Presencial,28
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CONTABILIDAD Y FINANZAS,Presencial,27
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CONTABILIDAD Y FINANZAS,Presencial,27
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CONTABILIDAD Y FINANZAS,Presencial,20
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN EDUCACIÓN ARTÍSTICA,Presencial,16
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN EDUCACIÓN ARTÍSTICA,Presencial,17
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN EDUCACIÓN ARTÍSTICA,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN EDUCACIÓN ARTÍSTICA,Presencial,21
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRONICA,Presencial,17
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRONICA,Presencial,16
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRONICA,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN INGENIERIA - INGENIERIA ELECTRONICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN MUSICOLOGÍA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN MUSICOLOGÍA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN MUSICOLOGÍA,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN MUSICOLOGÍA,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS - BIOQUIMICA,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS - BIOQUIMICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS - BIOQUIMICA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS - BIOQUIMICA,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN BIOINFORMÁTICA,Presencial,18
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN BIOINFORMÁTICA,Presencial,16
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN BIOINFORMÁTICA,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN BIOINFORMÁTICA,Presencial,8
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ACTUARÍA Y FINANZAS,Presencial,35
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ACTUARÍA Y FINANZAS,Presencial,37
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ACTUARÍA Y FINANZAS,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN ACTUARÍA Y FINANZAS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN URBANISMO,Presencial,18
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN URBANISMO,Presencial,15
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN URBANISMO,Presencial,12
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRIA EN URBANISMO,Presencial,10
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN PSICOLOGÍA,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN PSICOLOGÍA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN PSICOLOGÍA,Presencial,8
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN PSICOLOGÍA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN SOBERANIA Y SEGURIDAD ALIMENTARIA Y NUTRICIONAL,Presencial,14
